ZIP,Population,NonHispanic,Hispanic,%Hispanic,Mexican,%,PuertoRican,%,Cuban,%,Dominican,%,Costa Rican,%,Guatemalan,%,Honduran,%,Nicaraguan,%,Panamanian,%,Salvadoran,%, Argentinean,%,Bolivian,%,Chilean,%,Colombian,%,Ecuadorian,%,Paraguayan,%,Peruvian,%,Uruguayan,%,Venezuelan,%,OTHERS,%,Other Central American,%, Other South American,%,Other Hispanic,%,Spaniard,Spanish,Spanish American,All other Hispanic
32966,15626,14588,1038,0.07,390,0.38,213,0.21,135,0.13,17,0.02,7,0.01,10,0.01,10,0.01,13,0.01,7,0.01,17,0.02,13,0.01,4,0.00,4,0.00,49,0.05,18,0.02,1,0.00,24,0.02,2,0.00,23,0.02,81,0.08,0,0.00,1,0.00,80,0.08,36,9,0,35
32967,19518,17437,2081,0.11,1171,0.56,311,0.15,192,0.09,39,0.02,9,0.00,17,0.01,14,0.01,15,0.01,8,0.00,9,0.00,12,0.01,2,0.00,3,0.00,98,0.05,21,0.01,0,0.00,49,0.02,1,0.00,18,0.01,92,0.04,0,0.00,1,0.00,91,0.04,19,13,0,59
32968,12830,11831,999,0.08,372,0.37,157,0.16,92,0.09,18,0.02,3,0.00,10,0.01,13,0.01,17,0.02,2,0.00,24,0.02,12,0.01,2,0.00,5,0.01,100,0.10,20,0.02,0,0.00,20,0.02,6,0.01,20,0.02,106,0.11,0,0.00,3,0.00,103,0.10,25,9,0,69
32970,303,280,23,0.08,21,0.91,2,0.09,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0
32976,9079,8921,158,0.02,31,0.20,71,0.45,13,0.08,2,0.01,1,0.01,0,0.00,1,0.01,2,0.01,3,0.02,3,0.02,1,0.01,1,0.01,0,0.00,8,0.05,1,0.01,0,0.00,1,0.01,0,0.00,1,0.01,18,0.11,0,0.00,0,0.00,18,0.11,8,3,0,7
33001,315,285,30,0.10,1,0.03,4,0.13,20,0.67,1,0.03,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.03,1,0.03,0,0.00,0,0.00,0,0.00,0,0.00,2,0.07,0,0.00,0,0.00,2,0.07,0,0,0,2
33004,15588,13048,2540,0.16,126,0.05,518,0.20,456,0.18,141,0.06,18,0.01,18,0.01,52,0.02,44,0.02,16,0.01,34,0.01,130,0.05,24,0.01,25,0.01,314,0.12,71,0.03,1,0.00,179,0.07,17,0.01,100,0.04,256,0.10,5,0.00,1,0.00,250,0.10,77,16,4,153
33009,39341,26903,12438,0.32,659,0.05,1502,0.12,2338,0.19,642,0.05,117,0.01,142,0.01,481,0.04,277,0.02,89,0.01,128,0.01,767,0.06,43,0.00,147,0.01,1926,0.15,351,0.03,10,0.00,1118,0.09,248,0.02,519,0.04,934,0.08,6,0.00,9,0.00,919,0.07,127,48,7,737
33010,46187,2437,43750,0.95,395,0.01,874,0.02,35081,0.80,597,0.01,83,0.00,219,0.01,1197,0.03,2271,0.05,52,0.00,222,0.01,177,0.00,15,0.00,51,0.00,596,0.01,196,0.00,0,0.00,322,0.01,45,0.00,207,0.00,1150,0.03,5,0.00,1,0.00,1144,0.03,118,15,1,1010
33012,72248,3686,68562,0.95,475,0.01,1403,0.02,55713,0.81,1028,0.02,143,0.00,238,0.00,786,0.01,2491,0.04,100,0.00,257,0.00,365,0.01,29,0.00,239,0.00,1944,0.03,484,0.01,10,0.00,530,0.01,90,0.00,404,0.01,1833,0.03,0,0.00,0,0.00,1833,0.03,234,24,5,1570
33013,33852,1819,32033,0.95,221,0.01,595,0.02,27297,0.85,343,0.01,46,0.00,150,0.00,372,0.01,906,0.03,33,0.00,187,0.01,124,0.00,10,0.00,55,0.00,432,0.01,184,0.01,2,0.00,165,0.01,44,0.00,129,0.00,738,0.02,2,0.00,0,0.00,736,0.02,120,3,0,613
33014,40654,5332,35322,0.87,506,0.01,1466,0.04,24818,0.70,921,0.03,105,0.00,272,0.01,515,0.01,1598,0.05,121,0.00,286,0.01,298,0.01,25,0.00,136,0.00,1802,0.05,360,0.01,6,0.00,451,0.01,83,0.00,323,0.01,1230,0.03,5,0.00,2,0.00,1223,0.03,155,33,3,1032
